Flexibacter litoralis
Flexibacter polymorphus
Flexibacter roseolus
Flexibacter ruber
Chitinophaga sancti
Flexibacter sp.
Marivirga tractuosa
Saprospira grandis
Sphingobacterium mizutaii
Sporocytophaga cauliformis
Weeksella virosa
Bergeyella zoohelcum
Capnocytophaga gingivalis
Capnocytophaga ochracea
Capnocytophaga sputigena
Beggiatoa alba
Flammeovirga arenaria
Marinoscillum furvescens
Microscilla marina
Marivirga sericea
Thiothrix nivea
Thiothrix sp.
Afipia clevelandensis
Afipia felis
Barophile WHB 46
Erythrobacter sp.
Erythrobacter longus
Marichromatium gracile
Allochromatium vinosum
Thermochromatium tepidum
Halorhodospira halochloris
Halorhodospira halophila
Ectothiorhodospira shaposhnikovii
Thiococcus pfennigii
Thiocapsa roseopersicina
Rhodobacter capsulatus
Rhodobacter sp.
Rhodobacter sphaeroides
Rhodocyclus tenuis
Rhodocyclus purpureus
Rhodomicrobium vannielii
Rhodopila globiformis
Rhodoblastus acidophilus
Rhodobacter blasticus
Rhodopseudomonas palustris
Rhodopseudomonas sp.
Blastochloris viridis
Afifella marina
Phaeospirillum fulvum
Phaeospirillum molischianum
Rhodospirillum photometricum
Rhodospirillum rubrum
Rhodothalassium salexigens
Rhodovibrio salinarum
Rhodovibrio sodomensis
Chlorobium limicola
Chlorobium phaeovibrioides
Chlorobium sp.
Chlorobium phaeobacteroides
Chlorobaculum tepidum
Prosthecochloris vibrioformis
Pelodictyon luteolum
Prosthecochloris aestuarii
Clathrochloris sulfurica
Chloroflexus aurantiacus
Heliothrix oregonensis
Porphyrobacter neustonensis
Porphyrobacter sp.
Aphanothece sacrum
Chlorogloeopsis fritschii
Microcystis aeruginosa
Microcystis sp.
Microcystis sp. 'BC 84/1'
Synechococcus sp.
Synechocystis sp.
Synechocystis sp. PCC 6701
Synechocystis sp. PCC 6714
Synechocystis sp. PCC 6803
Pseudanabaena sp.
Spirulina sp.
Oscillatoria sp.
Planktothrix agardhii
Trichormus azollae
Anabaena cylindrica
Dolichospermum flos-aquae
Anabaena sp.
Nostoc sp. PCC 7119
Anabaena variabilis
Anabaena oscillarioides
Aphanizomenon flos-aquae
Nostoc commune
Nostoc muscorum
Nostoc sp.
Leptolyngbya boryana
Calothrix sp.
Tolypothrix sp. PCC 7601 = UTEX B 481
Fischerella sp.
Microchaete diplosiphon
Phormidium sp.
Phormidium minutum
Phormidium ectocarpi
Scytonema sp.
Trichodesmium erythraeum
Trichodesmium sp.
Trichodesmium thiebautii
Prochloron sp.
Prochloron didemni
Prochlorococcus marinus
Prochlorococcus sp.
Prochlorothrix hollandica
Nitrosococcus oceani
Nitrosospira multiformis
Nitrosovibrio tenuis
Piscirickettsia salmonis
Leuconostoc gelidum
Leuconostoc mesenteroides
Leuconostoc lactis
Oenococcus oeni
Weissella paramesenteroides
Leuconostoc fallax
Leuconostoc carnosum
Pediococcus acidilactici
Pediococcus pentosaceus
Peptoniphilus asaccharolyticus
Peptostreptococcus glycinophilus
Finegoldia magna
Peptostreptococcus anaerobius
Peptostreptococcus sp.
Ruminococcus albus
Ruminococcus flavefaciens
Sarcina ventriculi
Micrococcus luteus
Micrococcus sp.
Kocuria varians
Micrococcus lylae
Dermacoccus nishinomiyaensis
Kocuria rosea
Kytococcus sedentarius
Staphylococcus aureus
Staphylococcus carnosus
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus hyicus
Staphylococcus intermedius
Staphylococcus simulans
Staphylococcus xylosus
Staphylococcus hominis
Staphylococcus warneri
Staphylococcus gallinarum
Staphylococcus muscae
Staphylococcus schleiferi
Staphylococcus sciuri
Deinococcus radiodurans
Streptococcus gordonii
Streptococcus oralis
Streptococcus salivarius
Streptococcus sanguinis
Streptococcus sp.
Streptococcus suis
Streptococcus thermophilus
Streptococcus mutans
Streptococcus sobrinus
Streptococcus agalactiae
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus downei
Streptococcus parasanguinis
Streptococcus sp. 'group B'
Streptococcus sp. 'group G'
Blautia hansenii
Streptococcus sp. G148
Streptococcus sp. GX7805
Streptococcus acidominimus
Streptococcus anginosus
Streptococcus canis
Streptococcus criae
Streptococcus criceti
Streptococcus dysgalactiae
Streptococcus equinus
Streptococcus equi
Streptococcus hyointestinalis
Streptococcus intermedius
Streptococcus macacae
Streptococcus porcinus
Streptococcus ratti
Streptococcus vestibularis
Streptococcus ferus
Streptococcus iniae
Streptococcus parauberis
Streptococcus uberis
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus hirae
Enterococcus columbae
Enterococcus sulfureus
Lactococcus lactis
Lactococcus garvieae
Lactococcus piscium
Lactococcus plantarum
Lactococcus raffinolactis
Marinococcus halophilus
Planococcus citreus
Planococcus kocurii
Aerococcus urinae
Aerococcus viridans
Gemella haemolysans
Atopobium minutum
Atopobium parvulum
Atopobium rimae
Bacillus amyloliquefaciens
Aneurinibacillus aneurinilyticus
Bacillus anthracis
Brevibacillus brevis
Bacillus caldolyticus
Bacillus caldotenax
Bacillus cereus
Bacillus circulans
Bacillus coagulans
Bacillus firmus
Bacillus intermedius
Paenibacillus lautus
Bacillus licheniformis
Bacillus megaterium
Bacillus mycoides
Paenibacillus polymyxa
Bacillus psychrosaccharolyticus
Bacillus pumilus
Bacillus sp.
Bacillus sp. 1011
Bacillus akibai
Bacillus sp. 38-2
Bacillus cellulosilyticus
Bacillus sp. KSM-635
Bacillus sp. 707
Bacillus sp. B1018
Bacillus mannanilyticus
Bacillus sp. NS-129
Bacillus sp. RC607
Lysinibacillus sphaericus
Geobacillus stearothermophilus
Bacillus subtilis
Bacillus thermoamyloliquefaciens
Geobacillus thermoglucosidasius
Bacillus thermoproteolyticus
Bacillus thuringiensis
Bacillus alcalophilus
Bacillus sp. Q
Amphibacillus xylanus
Alicyclobacillus acidoterrestris
Paenibacillus amylolyticus
Bacillus atrophaeus
Bacillus azotoformans
Bacillus badius
Bacillus benzoevorans
Alicyclobacillus cycloheptanicus
Bacillus fastidiosus
Sporosarcina globispora
Psychrobacillus insolitus
Geobacillus kaustophilus
Paenibacillus larvae
Brevibacillus laterosporus
Bacillus lentus
Bacillus methanolicus
Paenibacillus pabuli
Virgibacillus pantothenticus
Sporosarcina pasteurii
Sporosarcina psychrophila
Bacillus simplex
Bacillus smithii
Bacillus ohbensis
Virgibacillus halodenitrificans
Bacillus schlegelii
Butyribacterium methylotrophicum
Clostridium acetobutylicum
Clostridium botulinum
Clostridium butyricum
Clostridium cellulovorans
Clostridium cochlearium
Clostridium cylindrosporum
Clostridium formicaceticum
Clostridium histolyticum
Clostridium josui
Clostridium pasteurianum
Clostridium perfringens
Clostridium purinilyticum
Clostridium septicum
Clostridium sp.
Clostridium sp. ATCC 29733
Clostridium sp. F1
Clostridium sporogenes
Clostridium symbiosum
Clostridium tetani
Clostridium thermocellum
Thermoanaerobacter thermohydrosulfuricus
Thermoanaerobacterium thermosaccharolyticum
Clostridium tyrobutyricum
Clostridium beijerinckii
Clostridium cellulolyticum
Clostridium longisporum
Clostridium piliforme
Moorella thermoacetica
Clostridium aminophilum
Clostridium aminovalericum
Eubacterium barkeri
Clostridium cadaveris
Clostridium carnis
Clostridium clostridioforme
Blautia coccoides
Clostridium fallax
Clostridium kluyveri
Clostridium leptum
Clostridium limosum
